# FORM			LEMMA			UPOS		UFEATS						MISC			URL
tlanepantla		tlanepantla		NOUN		_						Split=tlal·nepantla|Locative=Yes			_
nehnemini		nehnemini		NOUN		_						_			_
omochiuh		chihua			VERB		_						_			_
itla			tla			PRON		_						Gloss=algo			_
intla			tla			PRON		_						Gloss=algo			_
intlacualhuan		tlacualli		NOUN		_						_			_
tecoco			tecoco			NOUN		_						_			_
miecpa			miecpa			ADV		_						Temporal=Yes			_
huiloa			huiloa			VERB		_						_			_
quimonahualtiaya	nahualtia		VERB		_						_			_
chiquimoli		chiquimoli		NOUN		_						_			_
mocacayahua		mocacayahua		VERB		_		_				_
inca			ca			NOUN		NounType=Relat					_			_
tlacuahuac		tlacuahuac		NOUN		_						_			_
cuacua			cuacua			VERB		_						_			_
icampa			icampa			NOUN		NounType=Relat					_			_
quiqueloa		queloa			VERB		_						_			_
polihui			polihui			VERB		_						_			_
teyayacatzacuilia	yahyacatzacuilia	VERB		_						_			_
netetzahuiloya		tetzahuiloa		VERB		_						_			_
immac			mac			NOUN		_						_			_
yehhuatl		yehhuatl		PRON		_						Gloss=él			_
yehhua			yehhuatl		PRON		_						Gloss=él			_
yehhuan			yehhuan			PRON		_						Gloss=ellos			_
yehhuantin		yehhuan			PRON		_						Gloss=ellos			_
yeccan			yeccan			ADV		_						_			_
#yeccan			yeccan			NOUN		_						_			_
axixmiqui		ixmiqui			VERB		_						_			_
tecuanime		tecuani			NOUN		Number=Plur						_			_
pehua			pehua			VERB		_						_			_
ohtli			ohtli			NOUN		_						Gloss=camino			_
ohtlipan		ohtlipan		ADV		_						_			_
inyollo			yollotl			NOUN		_						Gloss=sus.corazones			_
iyollo			yollotl			NOUN		_						Gloss=su.corazón			_
toyollo			yollotl			NOUN		_						Gloss=nuestros.corazones			_
cuauhchochopitli	cuauhchochopitli	NOUN		_						_			_
huel			huel			ADV		_						_			_
teteiccahuan		teiccauhtli		NOUN		_						Gloss=hermanos.menores.de.alguien			_
noteiccahuane		teiccauhtli		NOUN		Case=Voc					Gloss=mis.hermanitos			_
iteiccahuan		teiccauhtli		NOUN		_						Gloss=sus.hermanitos			_
itlahuapahualhuan	tlahuapahualli		NOUN		_						_			_
chololoatiuh		chololoa		VERB		_						_			_
nopilhuane		pilli			NOUN		_						_			_
inpochteca		pochtecatl		NOUN		_						_			_
mopiloca		piloa			VERB		_						_			_
miqui			miqui			VERB		Subcat=Intr						_			_
chicahuaque		chicahuac		ADJ		_						_			_
tehhuan			tehhuan			PRON		_						Gloss=nosotros			_
tehhuatl		tehhuatl		PRON		_						Gloss=tú			_
ixpampa			ixpampa			NOUN		NounType=Relat					_			_
cuacuailpitica		cuacuailpitica		VERB		_						_			_
ilpitica		ilpitica		VERB		_						Gloss=estar.atado			_
moteittitiaya		teittitia		VERB		_						_			_
moteittitia		teittitia		VERB		_						_			_
ihuic			huic			NOUN		NounType=Relat					_			_
quicihuatlamachti	_			VERB		_						_			_
quimahuicotihui		_			VERB		_						_			_
quinemiti		_			VERB		_						_			_
tiquintonalehuaco	_			VERB		_						_			_
titotzontzonatihui	tzontzonatihui		VERB		_						_			_
totzon			tzontli			NOUN		_						_			_
tototolinia		_			NOUN		_						_			_
cemmayan		cemmayan		ADV		_						_			_
tahui			ahuitl			NOUN		_						Gloss=nuestras.tías			_
tohueltiuh		hueltiuhtli		NOUN		_						Gloss=nuestras.hermanas			_
tomach			machtli			NOUN		_						Gloss=nuestros.sobrinos			_
totlapallo		tlapallo		NOUN		_						Gloss=nuestro.sangre			_
ichoquiz		choquiztli		NOUN		_						_			_
itlauhcol		_			NOUN		_						_			_
quipixo			_			VERB		_						_			_
#aalacatoz		_			_		_						_			_
#camo			_			_		_						_			_
#cayac			_			_		_						_			_
#cecemmantoz		_			_		_						_			_
hualyetia		_			VERB		_						_			_
#iyepa			_			_		_						_			_
#nentlamati		_			_		_						_			_
quin			quin			PRON		_						_			_
#techchoquili		_			_		_						_			_
otihuallaque		hualla			VERB		_						_			_
tihuallaque		hualla			VERB		_						_			_
#tintotechiuhcahuan	_			_		_						_			_
tle			tle			PRON		_						_			_
tle			tle			ADV		_						_			_
#yancuican		_			_		_						_			_
zazo			zazo			ADV		_						Gloss=más			_
intopil			topilli			NOUN		_						_			_
inteouh			teotl			NOUN		_						_			_
ommotepeuhtitlalia	_			VERB		_						_			_
tequiquinatza		quiquinatza		VERB		_						_			_
quiquinacatica		quiquinaca		VERB		_						_			_
choloa			choloa			VERB		_						Gloss=huir			_
omoyollochichili	moyollochichilia	VERB		_						Gloss=amargarse			_
motilquetza		motilquetza		VERB		_						_			_
moquetza		moquetza		VERB		_		_				_
oquintetzahui		_			VERB		_						_			_
monacaztequi		nacaztequi		VERB		_						Incorp[obj]=nacaz	_
tlacoquixtia		_			VERB		_						_			_
tlamacehua		_			VERB		_						_			_
ontlamati		_			VERB		_						_			_
quimachitia		machitia		VERB		_						Gloss=hacer.saber			_
maquiza			_			VERB		_						Split=ma·quiza			_
tlalli			_			NOUN		_						Gloss=tierra			_
quitoca			_			VERB		_						_			_
quihtoznequi		_			VERB		_						_			_
omotetzahuique		_			VERB		_						_			_
tlahtoa			_			VERB		Subcat=Intr					_			_
ommotonallalilia	_			VERB		_						_			_
ayoccan			aoccan			ADV		_						Gloss=en.ninguna.parte			https://nahuatl.wired-humanities.org/content/aoccan
